,dist_center_segment,radius_segment,center_mass,jx_y,jz_y,jz_x
99,0.0,0.099,0.0,1.0,6.215216224870522,6.215216224870522
100,0.001,0.0,0.0,1.0000468115148682,5.731975417267336,5.731707107374858
101,0.001,0.001,1.0001000100009999e-07,1.0000468120593502,5.732019092618276,5.731750777560697
102,0.001,0.002,4.001600640256102e-07,1.0000468136525893,5.732150124614295,5.731881794291294
103,0.001,0.003,9.00810729656691e-07,1.0000468161737102,5.732368531085873,5.732100176088306
104,0.001,0.004,1.6025641025641025e-06,1.0000468194203989,5.732674341753437,5.732405953829188
105,0.001,0.005,2.506265664160401e-06,1.0000468231076096,5.733067598231748,5.732799170759272
106,0.001,0.006,3.613006824568446e-06,1.0000468268657425,5.733548354035995,5.733279882508672
107,0.001,0.007,4.924128228318762e-06,1.000046830238272,5.734116674589494,5.73384815711408
108,0.001,0.008,6.4412238325281796e-06,1.0000468326788046,5.734772637232925,5.734504075045475
109,0.001,0.009,8.166145780824677e-06,1.000046833547546,5.735516331234988,5.735247729237773
110,0.001,0.01,1.01010101010101e-05,1.000046832107141,5.736347857804328,5.736079225127488
111,0.001,0.011,1.224820325943921e-05,1.0000468275178482,5.737267330102564,5.736998680694448
112,0.001,0.012,1.4610389610389609e-05,1.0000468188320133,5.738274873258252,5.738006226508642
113,0.001,0.013,1.7190519784355605e-05,1.0000468049877835,5.739370624381535,5.739102005782266
114,0.001,0.014,1.9991840065279477e-05,1.0000467848020096,5.740554732579221,5.740286174427072
115,0.001,0.015,2.3017902813299227e-05,1.0000467569622675,5.741827358969994,5.741558901117097
116,0.001,0.016,2.627257799671592e-05,1.0000467200179264,5.743188676699415,5.742920367356902
117,0.001,0.017,2.9760065904644216e-05,1.000046672370177,5.744638870954336,5.744370767555439
118,0.001,0.018,3.348491112029764e-05,1.000046612260924,5.746178138976254,5.745910309105681
119,0.001,0.019,3.74520178441747e-05,1.0000465377604333,5.747806690073121,5.747539212470171
120,0.001,0.02,4.166666666666666e-05,1.0000464467536112,5.749524745629039,5.749257711272676
121,0.001,0.021,4.6134532900931054e-05,1.0000463369247756,5.751332539111159,5.7510660523961095
122,0.001,0.022,5.08617065994115e-05,1.0000462057407629,5.753230316073087,5.752964496086963
123,0.001,0.023,5.5854714391299735e-05,1.0000460504321902,5.75521833415391,5.754953316066471
124,0.001,0.024,6.112054329371816e-05,1.0000458679726756,5.757296863071913,5.757032799648766
125,0.001,0.025,6.666666666666667e-05,1.000045655055786,5.759466184611897,5.759203247866334
126,0.001,0.026,7.250107250107248e-05,1.000045408069455,5.761726592604854,5.761464975603081
127,0.001,0.027,7.863229425088985e-05,1.000045123067581,5.764078392898599,5.763818311735392
128,0.001,0.028,8.506944444444444e-05,1.0000447957384737,5.766521903317731,5.766263599281567
129,0.001,0.029,9.182225133748224e-05,1.0000444213697681,5.769057453611143,5.768801195560117
130,0.001,0.03,9.890109890109888e-05,1.0000439948093884,5.771685385384944,5.77143147235742
131,0.001,0.031,0.00010631707047239736,1.0000435104220629,5.774406052018408,5.774154816105304
132,0.001,0.032,0.00011408199643493761,1.0000429620408409,5.777219818560253,5.776971628069232
133,0.001,0.033,0.00012220850634047804,1.0000423429129754,5.780127061602066,5.779882324547789
134,0.001,0.034,0.00013071008593396654,1.0000416456394423,5.783128169125305,5.78288733708433
135,0.001,0.035,0.0001396011396011396,1.0000408621072645,5.78622354031773,5.785987112691699
136,0.001,0.036,0.00014889705882352938,1.0000399834136817,5.789413585354473,5.789182114091125
137,0.001,0.037,0.00015861429730042862,1.000038999781068,5.792698725138287,5.7924728199664655
138,0.001,0.038,0.00016877045348293593,1.0000379004613207,5.79607939099257,5.795859725235234
139,0.001,0.039,0.00017938436136336828,1.0000366736282615,5.799556024299824,5.799343341337964
140,0.001,0.04,0.00019047619047619045,1.000035306256342,5.8031290760769965,5.802924196547779
141,0.001,0.041,0.00020206755619665826,1.000033783983691,5.806799006477764,5.8066028363022415
142,0.001,0.042,0.00021418164157357937,1.000032090957204,5.81056628421019,5.810379823559933
143,0.001,0.043,0.00022684333210648992,1.0000302096570104,5.814431385856239,5.814255739184587
144,0.001,0.044,0.000240079365079365,1.0000281206971915,5.818394795077312,5.8182311823600426
145,0.001,0.045,0.00025391849529780554,1.0000258025990945,5.822457001687252,5.822306771039835
146,0.001,0.046,0.00026839167935058337,1.0000232315329491,5.8266185005710165,5.826483142435915
147,0.001,0.047,0.00028353228083686296,1.0000203810227326,5.830879790423222,5.83076095355168
148,0.001,0.048,0.0002993762993762994,1.0000172216083036,5.835241372276175,5.835140881765513
149,0.001,0.049,0.0003159626266614028,1.0000137204577446,5.839703747781283,5.839623625472085
150,0.001,0.05,0.0003333333333333334,1.000009840921504,5.844267417200948,5.844209904790023
151,0.001,0.051,0.0003515339910798755,1.0000055420183318,5.84893287705973,5.848900462346146
152,0.001,0.052,0.00037061403508771915,1.000000777841045,5.853700617393582,5.85369606414852
153,0.001,0.053,0.0003906271728549575,0.9999954968677636,5.858571118523586,5.858597500562851
154,0.001,0.054,0.00041163184641445494,0.9999896411613481,5.863544847265611,5.863605587409809
155,0.001,0.055,0.0004336917562724013,0.9999831454361555,5.868622252468806,5.868721167204404
156,0.001,0.056,0.0004568764568764568,0.9999759359668073,5.873803759752921,5.873945110563033
157,0.001,0.057,0.00048126203525403633,0.9999679293081387,5.879089765286066,5.879278317809363
158,0.001,0.058,0.000506931886678722,0.9999590307886467,5.884480628409121,5.884721720817057
159,0.001,0.059,0.0005339776039269825,0.9999491327311515,5.889976662868694,5.890276285136082
160,0.001,0.06,0.0005624999999999998,0.9999381123435832,5.895578126364701,5.895943012460109
161,0.001,0.061,0.000592610288262462,0.9999258292091269,5.90128520804808,5.901722943506313
162,0.001,0.062,0.0006244314489928523,0.9999121222875736,5.907098013514316,5.90761716139635
163,0.001,0.063,0.00065809981760902,0.9998968063175009,5.913016546723662,5.9136267956496305
164,0.001,0.064,0.0006937669376693765,0.9998796674802864,5.919040688130995,5.919753026928807
165,0.001,0.065,0.0007316017316017315,0.9998604581499472,5.925170168116926,5.925997092714652
166,0.001,0.066,0.0007717930545712259,0.9998388905045271,5.931404534562075,5.932360294136027
167,0.001,0.067,0.0008145527127563055,0.9998146287114272,5.937743113078838,5.938844004244537
168,0.001,0.068,0.0008601190476190476,0.9997872793153582,5.944184957981665,5.945449678107695
169,0.001,0.069,0.0009087612139721319,0.9997563793460306,5.950728791499299,5.952178865206983
170,0.001,0.07,0.00096078431372549,0.9997213815128609,5.957372927956419,5.9590332247783175
171,0.001,0.071,0.0010165355918531956,0.9996816356508813,5.964115178600046,5.966014544937478
172,0.001,0.072,0.0010764119601328899,0.99963636530428,5.970952731306624,5.973124766713665
173,0.001,0.073,0.0011408691928923135,0.9995846379502947,5.977881997416605,5.980366014502376
174,0.001,0.074,0.0012104332449160025,0.9995253268305136,5.984898415165761,5.9877406349910345
175,0.001,0.075,0.001285714285714285,0.9994570616003818,5.991996195259568,5.995251247377128
176,0.001,0.076,0.0013674242424242418,0.9993781639270386,5.999167988529808,6.002900808795126
177,0.001,0.077,0.001456398919184475,0.9992865626012021,6.006404447492759,6.010692700457948
178,0.001,0.078,0.0015536261491317664,0.9991796804323799,6.013693641705573,6.018630842355839
179,0.001,0.079,0.0016602819898909277,0.9990542817743997,6.021020269043928,6.026719847844621
180,0.001,0.08,0.0017777777777777772,0.9989062643443208,6.028364578093449,6.034965234751482
181,0.001,0.081,0.0019078220412910721,0.9987303710047193,6.035700875310743,6.043373717812195
182,0.001,0.082,0.002052503052503052,0.9985197846140285,6.0429954252936025,6.051953620157346
183,0.001,0.083,0.002214400514304082,0.9982655488732377,6.050203447588849,6.060715462351511
184,0.001,0.084,0.0023967391304347816,0.997955724934924,6.0572647409807026,6.069672821783444
185,0.001,0.085,0.0026036036036036036,0.9975741376099906,6.064097175206414,6.078843613302674
186,0.001,0.086,0.002840245775729643,0.9970984679328652,6.070586784834416,6.088252043371056
187,0.001,0.087,0.0031135335252982276,0.9964972748706348,6.0765722943379785,6.097931672845608
188,0.001,0.088,0.003432624113475173,0.9957252057049633,6.081820220039824,6.1079303659225515
189,0.001,0.089,0.0038100048100048046,0.9947150288751151,6.085983435069946,6.1183185720561095
190,0.001,0.09,0.004263157894736837,0.9933638536788894,6.088529469077368,6.129203762074396
191,0.001,0.091,0.004817335660267593,0.9915081827806854,6.088610645012016,6.140756829597214
192,0.001,0.092,0.0055104166666666565,0.9888762413065652,6.084815817180548,6.153263232556693
193,0.001,0.093,0.00640192450037009,0.9849907742298013,6.074663923902527,6.1672292602461365
194,0.001,0.094,0.007591065292096208,0.9789544597782563,6.053485418064078,6.183623106875938
195,0.001,0.095,0.00925641025641024,0.968926787156441,6.011694070086684,6.204487428538859
196,0.001,0.096,0.011755102040816302,0.9506767607902984,5.927235056237392,6.234753283871246
197,0.001,0.097,0.01592047377326562,0.9128664002108794,5.740959947248223,6.288937730561686
198,0.001,0.098,0.024252525252525223,0.8182351877332031,5.258315365617084,6.426410700063451
199,0.002,0.0,0.0,1.000187272358982,5.732640043416613,5.731566679403898
200,0.002,0.001,2.0002000200019997e-07,1.000187274537521,5.7326837326336095,5.731610347956445
201,0.002,0.002,8.003201280512204e-07,1.0001872809122676,5.7328148056585375,5.731741359907772
202,0.002,0.003,1.801621459313382e-06,1.0001872909995848,5.733033278610315,5.731959734142128
203,0.002,0.004,3.205128205128205e-06,1.000187303989988,5.73333917834408,5.732265502143858
204,0.002,0.005,5.012531328320802e-06,1.0001873187429753,5.733732542436439,5.732658708013346
205,0.002,0.006,7.226013649136892e-06,1.000187333779732,5.734213419164524,5.733139408489402
206,0.002,0.007,9.848256456637523e-06,1.0001873472736402,5.734781867478552,5.73370767297817
207,0.002,0.008,1.2882447665056359e-05,1.0001873570385138,5.735437956967436,5.734363583588654
208,0.002,0.009,1.6332291561649355e-05,1.0001873605144573,5.736181767817021,5.73510723517497
209,0.002,0.01,2.02020202020202e-05,1.0001873547512172,5.737013390760261,5.735938735385496
210,0.002,0.011,2.449640651887842e-05,1.0001873363888867,5.737932927018671,5.736858204719045
211,0.002,0.012,2.9220779220779218e-05,1.0001873016357843,5.738940488234168,5.737865776588302
212,0.002,0.013,3.438103956871121e-05,1.0001872462433088,5.740036196390332,5.738961597390728
213,0.002,0.014,3.9983680130558955e-05,1.0001871654775385,5.741220183721961,5.740145826587187
214,0.002,0.015,4.6035805626598455e-05,1.0001870540873132,5.742492592611615,5.7414186367886275
215,0.002,0.016,5.254515599343184e-05,1.0001869062684985,5.743853575471674,5.742780213851096
216,0.002,0.017,5.952013180928843e-05,1.0001867156240902,5.745303294610243,5.744230756979534
217,0.002,0.018,6.696982224059527e-05,1.0001864751197764,5.746841922078964,5.745770478840714
218,0.002,0.019,7.49040356883494e-05,1.0001861770345195,5.748469639500644,5.7473996056858585
219,0.002,0.02,8.333333333333332e-05,1.0001858129056633,5.750186637874167,5.749118377483444
220,0.002,0.021,9.226906580186211e-05,1.000185373468012,5.751993117353999,5.750927048062815
221,0.002,0.022,0.000101723413198823,1.0001848485862492,5.75388928700112,5.75282588526929
222,0.002,0.023,0.00011170942878259947,1.0001842271799843,5.755875364501844,5.754815171131535
223,0.002,0.024,0.00012224108658743631,1.000183497140628,5.757951575850532,5.756895202042062
224,0.002,0.025,0.00013333333333333334,1.0001826452391795,5.7601181549916385,5.759066288951842
225,0.002,0.026,0.00014500214500214495,1.000181657023904,5.762375343415948,5.761328757580113
226,0.002,0.027,0.0001572645885017797,1.0001805167067275,5.764723389705157,5.763682948640647
227,0.002,0.028,0.0001701388888888889,1.0001792070370292,5.767162549018153,5.766129218085851
228,0.002,0.029,0.00018364450267496448,1.0001777091613258,5.76969308251144,5.768667937370323
229,0.002,0.03,0.00019780219780219776,1.0001760024671391,5.772315256685124,5.7712994937356275
230,0.002,0.031,0.00021263414094479472,1.000174064409099,5.775029342644592,5.774024290518339
231,0.002,0.032,0.00022816399286987521,1.000171870315062,5.777835615266755,5.776842747483682
232,0.002,0.033,0.0002444170126809561,1.0001693931697024,5.7807343522579755,5.779755301187403
233,0.002,0.034,0.0002614201718679331,1.0001666033726817,5.783725833089015,5.782762405368864
234,0.002,0.035,0.0002792022792022792,1.0001634684680563,5.786810337790163,5.785864531378837
